Description,Ticker,Field ID,Field Mnemonic,Data State,2024,2023,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009
        Austria,CUFURPAT Index,PX385,INTERVAL_SUM,Dynamic,,99839.83333,120292.0224,132971.7131,128521,126639.5,111105,104910.5,103208,102859,83166.5,82842,113578,112606,113703,96240.5
        Belgium,CUFURPBE Index,PX385,INTERVAL_SUM,Dynamic,,346555.25,382417.9653,392271,319988,348974,389807.5,401167,366547,378609.5,386923,388200,399050,392800,384519.5,372752
        Cyprus,CUFURPCY Index,PX385,INTERVAL_SUM,Dynamic,,0,0,0,5.11E-11,697,928,1742,1727.5,2018.5,3060,3574.5,4355,3741,2593,2437.7885
        Germany,CUFURPDE Index,PX385,INTERVAL_SUM,Dynamic,,599347.2167,646420.9556,632067.7491,650392,618516,671194,694662.5,671436.5,678160.5,673380,672229.5,683902.5,709005,704271.5,668972.5
        Italy,CUFURPIT Index,PX385,INTERVAL_SUM,Dynamic,,1580,10882.5,15125,10000.5,7693,7887.5,8688.5,6600,7309,7890,4970,4849.5,4700,1795,6496
        Norway,CUFURPNO Index,PX385,INTERVAL_SUM,Dynamic,,21077.71667,21945.62553,20077.33333,20499.5,25150.5,20399.5,22700,28099.5,35500.5,35849.4999,37523.5,37891.5,36292.5,36183,33880
        Poland,CUFURPPL Index,PX385,INTERVAL_SUM,Dynamic,,536615.8333,582341.0108,576880.584,560846.5,566592,501861.5,522011,535650,574514,576882.5,565127.5,565863,571012,547054,502488.5
        Bulgaria,CUFURPBG Index,PX385,INTERVAL_SUM,Dynamic,,207922.7667,227327.0876,218667.6667,224424.5,206200.5,224000,228728.5,216214,229861.5,233637,229802,226364,226164.5,215971,197617
        Sweden,CUFURPSE Index,PX385,INTERVAL_SUM,Dynamic,,100111.9167,217773.3761,221807.6667,224541.5,203949,224488,219462.5,207219.5,206060,217337.5008,206197.5,214075,219318.5,190446.5,205748.5
        Finland,CUFURPFI Index,PX385,INTERVAL_SUM,Dynamic,,118502.3521,143419.3212,151474.3333,145857.5,120352.5,147350.5,139954,133861,135373,138306.0005,124820,128028.5,123246.5,122246,103500
        China,CUFURPCN Index,PX385,INTERVAL_SUM,Dynamic,,11441539.5,10952564.85,10353074.8,10039931.5,9624739.5,9120398,8902300.5,8445222,7966284.5,7649026,6667181.5,5879039,5162823,4540460.5,4051143.5
        Kazakhstan,CUFURPKZ Index,PX385,INTERVAL_SUM,Dynamic,,296089.4191,438542.2695,413154.7293,421227,409298,397262.5,383968.5,370924.5,347504.5,281581.5,345544.5,358330.5,330271,314684,347066.5
        Indonesia,CUFURPID Index,PX385,INTERVAL_SUM,Dynamic,,176126.315,305308.8682,280218.8595,279320.5,266890.5,267534.5,269549.5,257141.5,198968.505,239194.5,214643.5,197794.5,265975,277845.5,287009.5
        Turkey,CUFURPTR Index,PX385,INTERVAL_SUM,Dynamic,,125519.5,136515.0929,127524.3333,117834,121149.5,111965.5,95001,52415,83999,71140,74500,86150,86450,47250,33499.5
        Iran,CUFURPIR Index,PX385,INTERVAL_SUM,Dynamic,,315323.2,322294.2942,288701.6667,264047,245381.5,223626.5,149012.5,180227,185689.45,196259,190322.5,226455,226556,219721.5,210480.5
        Philippines,CUFURPPH Index,PX385,INTERVAL_SUM,Dynamic,,183219.8333,193095.776,212763.4282,213819.5,183249,228803,206345,106946,151492.5,130000.0001,154350,94400.00001,164049.5,176018,177815.5
        India,CUFURPIN Index,PX385,INTERVAL_SUM,Dynamic,,466513.6832,542644.0461,491814.468,336069.5,428686.5,552894.5,834018,770761,791881.5,765249,618207,692356,666397.5,652203.5,719577
        Japan,CUFURPJP Index,PX385,INTERVAL_SUM,Dynamic,,1406365.738,1578625.382,1513730,1581875,1492997,1594517,1488080,1553021,1483131,1554224,1468123,1516354,1328289.5,1548688.5,1439841.5
        South Korea,CUFURPKR Index,PX385,INTERVAL_SUM,Dynamic,,606017.5,645186.4228,632134.6184,656649.5,657736.5,624243,608353.5,627226,626669,602750,604610,589707,593489.5,557634.5,535450
        Uzbekistan,CUFURPUZ Index,PX385,INTERVAL_SUM,Dynamic,,151493,158578.2776,144704.0024,121800,110700,104090,100399,100399,100399,99825,91610,92500,86000,85200,81014.5
        Oman,CUFURPOM Index,PX385,INTERVAL_SUM,Dynamic,,0,0,0,5999.5,5999,16014.5,16194,11660.5,19262,16500,16049,6299,11700,11054.5,10860
        Australia,CUFURPAU Index,PX385,INTERVAL_SUM,Dynamic,,419201.75,405526.4197,393364.6573,384104,432716.5,408659.5,386106.5,474954,474383.5,510276.5,469058.5,468582.5,476887.5,424141.5,445739.5
        Zambia,CUFURPZM Index,PX385,INTERVAL_SUM,Dynamic,,344734.5685,278274.7172,305264.7397,313887,396465,490731.5,449321,415609.5,488939.5,499395,545394,530201.7,516418,647065,564623
        D.R. Congo,CUFURPCG Index,PX385,INTERVAL_SUM,Dynamic,,1822889.8,1587224.973,1249793.528,832664,877693,855094.5,726260.5,736966.5,792653,764450,637218,450865.5,352625,255826,164005
        Egypt,CUFURPEG Index,PX385,INTERVAL_SUM,Dynamic,,3435.666667,3778.272978,3821,3981,3981.5,3981.5,3995,3999.5,4000,3999.5,4001.5,4001.5,4001.5,4001.5,4005.5
    Other Regions,CUFURPOC Index,PX385,INTERVAL_SUM,Dynamic,,148388.55,123664.8636,189119.3856,411882.5001,435002.5,424367.5,398895,367057,333694.05,284358,285736.5,285112.49,269460.1,246190.45,261748.3345
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
        Canada,CUFURDCA Index,PX385,INTERVAL_SUM,Dynamic,,160331.1851,164917.0536,181238.1462,156801,177450,178686,167970.5,164048,152817,164114,157070,156405,144756,143769.5,137361.5
        United States,CUFURDUS Index,PX385,INTERVAL_SUM,Dynamic,,1541607.625,1736952.008,1805986.701,1748975,1852320,1812550,1783390,1810900,1797100,1760200,1826160,1759000,1757900,1765000,1648500
        Mexico,CUFURDMX Index,PX385,INTERVAL_SUM,Dynamic,,373414.9066,415318.6701,425731.5377,380375,414341,388569,373257.5,395129.5,377610.5,355308.5,333959.5,313670.6373,313201.9241,279952,280621.9569
        Chile,CUFURDCL Index,PX385,INTERVAL_SUM,Dynamic,,67268.82919,63946.4161,62520.95732,46200,45050,55000,69950,83800,79200,94800,94900,95600,96200,100200,91250
        Peru,CUFURDPE Index,PX385,INTERVAL_SUM,Dynamic,,49023.97999,59884.00158,59614.2387,38554.5,51297,49984,47937.5,55022,61022,55008.5,55009.5,55010.56574,55011.78661,54556,53994.03775
        Brazil,CUFURDBR Index,PX385,INTERVAL_SUM,Dynamic,,195288.5405,218158.9489,237912.0184,268306,306906,297138,281746.5,292984,377650,385737.5,407968,428169,402732.5,464040,322358
        Russia,CUFURDRU Index,PX385,INTERVAL_SUM,Dynamic,,265741.3333,407637.4455,451663.8357,338273.5,345223,333990.5,384449.5,370800.5,324960,611124.5,664802,648455,649890.5,448063,387866
        Spain,CUFURDES Index,PX385,INTERVAL_SUM,Dynamic,,348186.7389,396401.9128,361749.6196,339714,367029.5,365996.5,352810,335872.5,340902.5,329648.5,318570,325671.5,339367.5,348468.5,319537.5
        Austria,CUFURDAT Index,PX385,INTERVAL_SUM,Dynamic,,20052.60502,24077.84262,26838.53861,28406.5,29900.5,29899,29899,30280,30392,26000.5,26001,26000,33251.05572,32911.5,32411.11254
        Belgium,CUFURDBE Index,PX385,INTERVAL_SUM,Dynamic,,227796.1068,254064.5029,249261.6114,232639,243700,260731.5,220027.5,250441,276899,245379,214488,217862,252936.5,265600,233650.3453
        Germany,CUFURDDE Index,PX385,INTERVAL_SUM,Dynamic,,951942.6499,1059905.378,1042149.061,1051344,975902.5,1204476,1179644.5,1237592,1220060,1162594.5,1136830,1112125.5,1249384.5,1312213,1133663
        Italy,CUFURDIT Index,PX385,INTERVAL_SUM,Dynamic,,455483.9677,601202.1019,593104.06,459956.5,543655.5,548547,587554.5,567964.5,596471,600065.5,551552.5,566469,605179.5,619001,522850.5
        Poland,CUFURDPL Index,PX385,INTERVAL_SUM,Dynamic,,267412.3862,302752.5073,295836.5599,281284,278721,290845.5,274271,283867.5,280534.5,276332,238828.5,250265,253143,264501,213886.5
